titre,realisateur,date_debut_evenement,date_fin_evenement,cadre,lieu,adresse,arrondissement,adresse_complete,geo_coordinates,,
LES INVISIBLES,JOUSSE THIERRY,2004-03-06,2004-03-06,EXTERIEUR,RUE,BAULANT,75012,RUE BAULANT 75012 Paris France,48.840948, 2.386797,
LES INVISIBLES,JOUSSE THIERRY,2004-05-17,2004-05-17,EXTERIEUR,RUE,LACHARRIERE,75011,RUE LACHARRIERE 75011 Paris France,48.861664, 2.377364,
LES INVISIBLES,JOUSSE THIERRY,2004-06-17,2004-06-17,EXTERIEUR,RUE,DU GENERAL GHILEM,75011,RUE DU GENERAL GHILEM 75011 Paris France,48.861885, 2.379595,
LES INVISIBLES,JOUSSE THIERRY,2004-06-23,2004-06-23,EXTERIEUR,RUELLE,DE LA PLANCHETTE,75012,RUELLE DE LA PLANCHETTE 75012 Paris France,48.839509, 2.388822,
CAVALCADE,SUISSA STEVE,2004-11-05,2004-11-05,EXTERIEUR,AVENUE,DE FRIEDLAND,75008,AVENUE DE FRIEDLAND 75008 Paris France,48.8744, 2.301089,
CAVALCADE,SUISSA STEVE,2004-11-05,2004-11-05,EXTERIEUR,BOULEVARD,DE COURCELLES,75008,BOULEVARD DE COURCELLES 75008 Paris France,48.88018, 2.307415,
CAVALCADE,SUISSA STEVE,2004-11-05,2004-11-05,EXTERIEUR,RUE,LA BOETIE,75008,RUE LA BOETIE 75008 Paris France,48.872586, 2.310079,
CAVALCADE,SUISSA STEVE,2004-06-28,2004-06-28,EXTERIEUR,RUE,ROUGEMONT,75009,RUE ROUGEMONT 75009 Paris France,48.871651, 2.34592,
CAVALCADE,SUISSA STEVE,2004-06-23,2004-06-23,EXTERIEUR,RUE,DE DOUAI,75009,RUE DE DOUAI 75009 Paris France,48.883055, 2.331266,
CAVALCADE,SUISSA STEVE,2004-11-05,2004-11-05,EXTERIEUR,RUE,D'ARTOIS,75008,RUE D'ARTOIS 75008 Paris France,48.873328, 2.307123,
CAVALCADE,SUISSA STEVE,2004-06-23,2004-06-23,EXTERIEUR,RUE,VICTOR MASSE,75009,RUE VICTOR MASSE 75009 Paris France,48.880773, 2.3384,
